RouteName,StopName,Directions,Latitude,Longitude
FishCamp,Trigon,Outbound,30.61430798,-96.33983489
FishCamp,Welsh @ First Baptist Church,Outbound,30.58729781,-96.31495496
FishCamp,Welsh @ Navarro - Outbound,Outbound,30.58480822,-96.3130785
FishCamp,Welsh @ Deacon - Outbound,Outbound,30.58181492,-96.31012031
FishCamp,Rock Prairie - Outbound,Outbound,30.57427901,-96.30646673
FishCamp,Welsh @ Deacon - Inbound,Inbound,30.5820905,-96.3102638
FishCamp,Welsh @ Navarro - Inbound,Inbound,30.58487474,-96.3129902
FishCamp,Welsh @ Balcones,Inbound,30.58757337,-96.31494393
FishCamp,Trigon,Inbound,30.61430798,-96.33983489
