RouteName,StopName,Directions,Latitude,Longitude
MatthewGaines,Trigon,Outbound,30.61339565,-96.33922702
MatthewGaines,Marion Pugh @ George Bush - Outbound,Outbound,30.60109959,-96.33882851
MatthewGaines,Park West 1 - Outbound,Outbound,30.59755333,-96.33817628
MatthewGaines,Park West 2 - Outbound,Outbound,30.5959721,-96.33990503
MatthewGaines,Jones-Butler @ Woodsman - Outbound,Outbound,30.59382598,-96.33925052
MatthewGaines,John Crompton Park - Outbound,Outbound,30.59395127,-96.3366942
MatthewGaines,Marion Pugh @ Holleman - Inbound,Inbound,30.59650801,-96.33666925
MatthewGaines,Marion Pugh @ George Bush - Inbound,Inbound,30.60120038,-96.33869572
MatthewGaines,Trigon,Inbound,30.61339565,-96.33922702
